Year,District,Area,Zone,Population,Water_Demand_MLD,Water_Supply_MLD,Supply_Coverage_Percent,Water_Quality_Index,pH,TDS_ppm,Residual_Chlorine_mgL,Turbidity_NTU,Groundwater_Level_m_bgl,Rainfall_mm,Leakage_Percent,Non_Revenue_Water_Percent,Complaint_Count,Pipeline_Length_km,Treatment_Plant,Water_Source,Water_Quality_Status,Priority_Level
2014,North West Delhi,Mangolpuri,North,101887,22.19,17.94,80.9,78.5,7.5,412,0.31,2,10.5,657,26.9,33.3,215,46,Chandrawal,Groundwater,Poor,High
2015,North West Delhi,Mangolpuri,North,103699,22.29,18.41,82.6,79.7,8.2,284,0.26,2.4,10.7,815,25.8,30.6,197,46,Haiderpur,Groundwater,Poor,High
2016,North West Delhi,Mangolpuri,North,105217,20.15,16.41,81.4,80.9,7.5,406,0.28,2.1,10.9,617,25.3,32,216,46,Chandrawal,Groundwater,Moderate,High
2017,North West Delhi,Mangolpuri,North,107183,22.97,19.07,83,82.3,8,182,0.63,2.3,11.3,666,24.1,28.1,203,46,Okhla,Yamuna,Moderate,High
2018,North West Delhi,Mangolpuri,North,108841,20.97,17.93,85.5,83.2,7.6,303,0.77,2.3,11.6,473,23.3,30.6,180,46,Bhagirathi,Ganga Canal,Moderate,Medium
2019,North West Delhi,Mangolpuri,North,111221,22.03,19.2,87.2,84.4,8,482,0.71,2.2,11.8,743,22.6,29.3,167,46,Okhla,Ganga Canal,Moderate,Medium
2020,North West Delhi,Mangolpuri,North,113467,24.25,21.55,88.9,85.3,8,274,0.53,2.4,12,687,21.5,26.1,147,46,Wazirabad,Yamuna,Moderate,Medium
2021,North West Delhi,Mangolpuri,North,115365,23.85,21.56,90.4,86.5,7.2,337,0.49,1.4,12.5,738,20.9,26.4,140,46,Okhla,Ganga Canal,Moderate,Medium
2022,North West Delhi,Mangolpuri,North,116961,24.44,21.73,88.9,87.9,7.5,183,0.41,1.4,12.8,838,20.2,27.4,145,46,Chandrawal,Groundwater,Moderate,Medium
2023,North West Delhi,Mangolpuri,North,119184,23.88,22.11,92.6,88.9,7.3,442,0.58,1.6,13.1,853,19.2,25.8,121,46,Bawana,Ganga Canal,Good,Low
2024,North West Delhi,Mangolpuri,North,121770,24.5,22.65,92.5,90,8,440,0.64,1.4,13.6,971,18.3,24.5,118,46,Bawana,Groundwater,Good,Low
2025,North West Delhi,Mangolpuri,North,123898,25.73,23.99,93.2,91,8,218,0.72,1.4,13.8,500,17.4,22.4,116,46,Wazirabad,Groundwater,Good,Low
2014,North West Delhi,Begumpur,North,107723,21.15,17.16,81.1,77.9,7.6,346,0.6,0.9,14.1,432,26.3,31,211,53,Haiderpur,Groundwater,Poor,High
2015,North West Delhi,Begumpur,North,110038,22.19,17.66,79.6,78.5,7.7,269,0.36,1.2,14.4,694,25.3,28.9,232,53,Haiderpur,Yamuna,Poor,High
2016,North West Delhi,Begumpur,North,111912,23.05,19.24,83.5,79.4,8,434,0.8,1.5,14.8,796,24.3,28.9,202,53,Bawana,Yamuna,Poor,High
2017,North West Delhi,Begumpur,North,113974,22.33,19.02,85.2,80.9,7.2,259,0.67,2.2,15.2,491,23.6,30.7,184,53,Haiderpur,Groundwater,Moderate,Medium
2018,North West Delhi,Begumpur,North,116275,22.71,19.65,86.5,82.3,7.5,452,0.34,0.9,15.6,574,22.8,28.2,175,53,Haiderpur,Groundwater,Moderate,Medium
2019,North West Delhi,Begumpur,North,118601,22.98,19.75,86,83.2,7.9,241,0.38,0.6,15.9,438,21.7,28.1,175,53,Chandrawal,Yamuna,Moderate,Medium
2020,North West Delhi,Begumpur,North,121001,22.84,20.26,88.7,84.3,8.1,312,0.37,1.1,16.3,735,20.6,27.6,159,53,Bhagirathi,Groundwater,Moderate,Medium
2021,North West Delhi,Begumpur,North,123297,25.92,22.82,88.1,85.7,8.1,492,0.45,2.1,16.8,802,19.5,23.5,139,53,Dwarka,Ganga Canal,Moderate,Medium
2022,North West Delhi,Begumpur,North,125704,25.79,23.31,90.4,87.1,7,498,0.7,1.7,17.2,520,18.9,22.1,141,53,Bhagirathi,Ganga Canal,Moderate,Medium
2023,North West Delhi,Begumpur,North,128104,24.72,22.21,89.8,87.9,7.5,444,0.69,0.7,17.4,935,18.4,26.3,128,53,Dwarka,Ganga Canal,Moderate,Medium
2024,North West Delhi,Begumpur,North,130770,26.33,24.07,91.4,88.9,7.1,180,0.36,0.5,17.7,886,17.3,24.7,112,53,Haiderpur,Yamuna,Good,Medium
2025,North West Delhi,Begumpur,North,132991,25.27,23.57,93.3,90.2,7,512,0.63,1.7,18.2,682,16.8,19.8,115,53,Bhagirathi,Yamuna,Good,Low
2014,North West Delhi,Pooth Kalan,North,105918,22.48,18.22,81,79.6,7.7,463,0.47,0.5,10.7,820,30.5,35.4,232,38,Haiderpur,Yamuna,Poor,High
2015,North West Delhi,Pooth Kalan,North,107442,22.26,18.23,81.9,80.7,8.1,258,0.31,2.4,10.9,856,29.8,33.6,224,38,Wazirabad,Ganga Canal,Moderate,High
2016,North West Delhi,Pooth Kalan,North,108764,23.09,19.39,84,81.6,7.6,335,0.75,1.5,11.4,708,28.8,36.4,205,38,Haiderpur,Groundwater,Moderate,High
2017,North West Delhi,Pooth Kalan,North,110481,23.58,19.53,82.8,83,7.3,283,0.79,1,11.8,537,27.9,35.5,212,38,Dwarka,Yamuna,Moderate,High
2018,North West Delhi,Pooth Kalan,North,112532,22.27,19.07,85.6,83.7,7.2,305,0.34,2.1,12.2,707,27.3,35,197,38,Dwarka,Groundwater,Moderate,Medium
2019,North West Delhi,Pooth Kalan,North,113890,24.3,20.64,84.9,84.7,8,429,0.61,1.1,12.6,822,26.6,29.9,190,38,Okhla,Ganga Canal,Moderate,High
2020,North West Delhi,Pooth Kalan,North,115511,23.9,20.99,87.8,85.4,7.3,272,0.7,1.3,12.9,559,25.8,31.5,176,38,Wazirabad,Groundwater,Moderate,Medium
2021,North West Delhi,Pooth Kalan,North,117704,22.86,20.37,89.1,86.2,8.1,379,0.68,0.7,13.1,795,24.9,31.9,171,38,Bhagirathi,Ganga Canal,Moderate,Medium
2022,North West Delhi,Pooth Kalan,North,119824,23.9,21.23,88.8,87.1,8,393,0.64,0.9,13.5,682,24.3,28.9,168,38,Bhagirathi,Yamuna,Moderate,Medium
2023,North West Delhi,Pooth Kalan,North,121328,24.1,21.51,89.3,88,7.5,297,0.67,1.1,13.8,565,23.6,28.7,156,38,Bawana,Ganga Canal,Moderate,Medium
2024,North West Delhi,Pooth Kalan,North,123510,23.74,22.01,92.7,89.2,8.1,339,0.66,2,14.1,431,23.1,29,138,38,Chandrawal,Groundwater,Good,Low
2025,North West Delhi,Pooth Kalan,North,125218,26.43,24.18,91.5,89.8,8.1,257,0.38,1.9,14.6,968,22.2,28.9,132,38,Bhagirathi,Yamuna,Good,Medium
2014,North West Delhi,Sultanpuri,North,108212,21.17,17.07,80.6,75.9,7.8,466,0.41,1.2,10.7,953,24.5,31.9,221,20,Okhla,Groundwater,Poor,High
2015,North West Delhi,Sultanpuri,North,109757,22.52,18.19,80.8,76.6,7.1,324,0.27,1.1,11,615,23.6,27.2,203,20,Bawana,Yamuna,Poor,High
2016,North West Delhi,Sultanpuri,North,112085,22.96,18.87,82.2,77.2,7.2,198,0.48,2.3,11.4,773,22.8,27.7,201,20,Okhla,Ganga Canal,Poor,High
2017,North West Delhi,Sultanpuri,North,113554,23.12,19.09,82.6,78.1,8,322,0.46,1.4,11.8,969,22,25.2,193,20,Dwarka,Yamuna,Poor,High
2018,North West Delhi,Sultanpuri,North,115507,23.43,19.57,83.5,79,7.8,489,0.64,2.2,12.1,961,21,26.6,188,20,Haiderpur,Yamuna,Poor,High
2019,North West Delhi,Sultanpuri,North,117963,23.37,20.49,87.7,80.2,7.6,283,0.33,0.6,12.4,512,20.2,27.3,153,20,Chandrawal,Yamuna,Moderate,Medium
2020,North West Delhi,Sultanpuri,North,119580,24.12,20.6,85.4,80.9,8,419,0.23,0.6,12.7,844,19.1,23,168,20,Okhla,Groundwater,Moderate,Medium
2021,North West Delhi,Sultanpuri,North,121479,25.39,22.53,88.7,82.1,7,313,0.46,2.4,13,580,18,25.3,148,20,Chandrawal,Groundwater,Moderate,Medium
2022,North West Delhi,Sultanpuri,North,123425,24.14,21.86,90.6,82.7,7.3,387,0.53,1.2,13.4,870,16.8,19.9,129,20,Okhla,Yamuna,Moderate,Medium
2023,North West Delhi,Sultanpuri,North,126010,25.44,23.36,91.8,83.9,7.8,489,0.33,0.6,13.9,739,16.2,23.1,120,20,Dwarka,Yamuna,Moderate,Medium
2024,North West Delhi,Sultanpuri,North,127739,24,22.52,93.8,85.3,7.6,393,0.58,0.6,14.1,659,15.1,19.4,98,20,Bawana,Groundwater,Moderate,Low
2025,North West Delhi,Sultanpuri,North,130506,25.92,24.61,94.9,86.7,7.9,241,0.35,1,14.4,836,14.5,18.7,86,20,Dwarka,Ganga Canal,Moderate,Low
2014,North West Delhi,Kirari,North,104546,22.59,17.74,78.5,73.9,8.1,272,0.28,2.2,10.9,542,32.6,38.5,249,38,Wazirabad,Yamuna,Poor,High
2015,North West Delhi,Kirari,North,106722,22.53,18.13,80.5,74.6,7.1,298,0.5,1.6,11.1,975,31.9,36.8,248,38,Okhla,Yamuna,Poor,High
2016,North West Delhi,Kirari,North,108533,23.33,19.04,81.6,76,7.3,295,0.43,0.8,11.4,705,31.4,34.5,230,38,Chandrawal,Yamuna,Poor,High
2017,North West Delhi,Kirari,North,110195,21.73,18.34,84.4,76.8,7.7,433,0.75,0.9,11.8,960,30.6,37.6,210,38,Wazirabad,Groundwater,Poor,High
2018,North West Delhi,Kirari,North,111999,21.43,17.77,82.9,78.1,7.7,428,0.76,1.4,12,596,29.4,34.2,217,38,Bhagirathi,Ganga Canal,Poor,High
2019,North West Delhi,Kirari,North,113904,24.25,20.45,84.3,79.5,8,401,0.47,1.6,12.3,490,28.9,32.1,202,38,Bhagirathi,Ganga Canal,Poor,High
2020,North West Delhi,Kirari,North,115712,23.94,20.62,86.1,81,7.1,209,0.53,1.3,12.6,767,27.7,33.9,189,38,Chandrawal,Yamuna,Moderate,Medium
2021,North West Delhi,Kirari,North,117958,22.72,19.84,87.3,81.7,8.2,504,0.38,0.5,13.1,780,26.9,33.7,190,38,Okhla,Groundwater,Moderate,Medium
2022,North West Delhi,Kirari,North,120337,23.78,21.61,90.9,83,8.1,417,0.67,1.2,13.4,531,26,32,167,38,Haiderpur,Ganga Canal,Moderate,Medium
2023,North West Delhi,Kirari,North,122593,23.36,21.4,91.6,83.6,7.9,482,0.46,1,13.6,623,24.8,30.3,144,38,Haiderpur,Groundwater,Moderate,Medium
2024,North West Delhi,Kirari,North,124697,23.46,21.45,91.4,84.8,7.3,193,0.36,2.4,14.1,526,23.8,31,148,38,Dwarka,Groundwater,Moderate,Medium
2025,North West Delhi,Kirari,North,126383,25.42,23.27,91.6,86.1,8.1,368,0.76,2.1,14.3,888,22.6,30,144,38,Haiderpur,Groundwater,Moderate,Medium
2014,North West Delhi,Budh Vihar,North,103492,20.86,16.83,80.7,81.3,8,341,0.6,1.7,12.4,743,28.5,32.9,222,44,Haiderpur,Ganga Canal,Moderate,High
2015,North West Delhi,Budh Vihar,North,105521,20.27,16.86,83.2,82.4,7.3,259,0.59,1.4,12.6,578,27.4,32,207,44,Haiderpur,Yamuna,Moderate,High
2016,North West Delhi,Budh Vihar,North,107063,23.06,19.21,83.3,83.6,7,433,0.49,2.1,13.1,462,26.4,33.2,199,44,Wazirabad,Groundwater,Moderate,High
2017,North West Delhi,Budh Vihar,North,109214,22.05,18.79,85.2,84.4,7.1,207,0.33,1.4,13.4,643,25.5,32.3,192,44,Haiderpur,Yamuna,Moderate,Medium
2018,North West Delhi,Budh Vihar,North,111330,21.73,18.26,84,85.1,7.9,420,0.54,1.6,13.7,584,24.4,29.1,183,44,Dwarka,Ganga Canal,Moderate,High
2019,North West Delhi,Budh Vihar,North,112929,22.56,19.27,85.4,86.2,7.1,410,0.65,0.6,14.2,729,23.5,31.3,188,44,Haiderpur,Groundwater,Moderate,Medium
2020,North West Delhi,Budh Vihar,North,115248,22.24,19.83,89.1,86.9,7.6,399,0.43,2.2,14.5,980,22.8,27,151,44,Wazirabad,Groundwater,Moderate,Medium
2021,North West Delhi,Budh Vihar,North,117748,24.05,21.24,88.3,88,7.4,382,0.37,1.2,14.9,464,21.8,26.2,147,44,Chandrawal,Yamuna,Moderate,Medium
2022,North West Delhi,Budh Vihar,North,119423,23.97,21.84,91.1,88.6,7.2,224,0.58,1.1,15.3,651,20.8,24.6,127,44,Haiderpur,Ganga Canal,Good,Medium
2023,North West Delhi,Budh Vihar,North,121628,23.29,20.78,89.2,90,7.9,257,0.78,1.5,15.7,461,19.7,26.8,143,44,Chandrawal,Groundwater,Good,Medium
2024,North West Delhi,Budh Vihar,North,123954,24.7,22.98,93,91,8.1,279,0.58,1.4,16,541,18.9,22.1,119,44,Bhagirathi,Ganga Canal,Good,Low
2025,North West Delhi,Budh Vihar,North,125911,24.97,23.12,92.6,92.5,8,359,0.2,0.8,16.2,808,18.3,25.6,123,44,Bawana,Ganga Canal,Good,Low
2014,North West Delhi,Prashant Vihar,North,107631,22.27,17.51,78.6,81.5,7.6,240,0.47,1.2,11.3,473,30.3,36.2,253,38,Bhagirathi,Groundwater,Moderate,High
2015,North West Delhi,Prashant Vihar,North,109241,21.91,18.04,82.3,82.9,8,184,0.37,1.4,11.8,588,29.5,34.4,224,38,Okhla,Ganga Canal,Moderate,High
2016,North West Delhi,Prashant Vihar,North,111099,21.28,17.2,80.8,83.7,8.1,461,0.44,2.5,12.2,475,28.8,35.8,222,38,Okhla,Yamuna,Moderate,High
2017,North West Delhi,Prashant Vihar,North,112635,23.05,19.64,85.2,85.1,7.7,489,0.54,1.6,12.6,733,27.7,34.8,208,38,Dwarka,Yamuna,Moderate,Medium
2018,North West Delhi,Prashant Vihar,North,114064,23.74,20.51,86.4,85.8,7.7,261,0.73,0.4,12.9,653,26.9,34.4,189,38,Wazirabad,Ganga Canal,Moderate,Medium
2019,North West Delhi,Prashant Vihar,North,115842,23.39,20.33,86.9,86.8,7.4,329,0.63,0.8,13.3,755,26,32.7,178,38,Bawana,Groundwater,Moderate,Medium
2020,North West Delhi,Prashant Vihar,North,117718,24.85,21.29,85.7,88.2,8.1,486,0.35,0.5,13.7,625,24.8,31.1,185,38,Wazirabad,Yamuna,Good,Medium
2021,North West Delhi,Prashant Vihar,North,119433,24.08,20.86,86.6,89.3,7.4,242,0.4,1,14.1,887,23.7,27.1,176,38,Okhla,Yamuna,Good,Medium
2022,North West Delhi,Prashant Vihar,North,121453,24.7,21.96,88.9,90.6,8,403,0.37,1.9,14.4,444,22.9,29.2,154,38,Okhla,Yamuna,Good,Medium
2023,North West Delhi,Prashant Vihar,North,123679,24.81,22.59,91,91.4,7.5,257,0.34,1.2,14.8,442,21.9,25.1,143,38,Wazirabad,Yamuna,Good,Medium
2024,North West Delhi,Prashant Vihar,North,126069,25.84,24.03,93,92.3,7.1,466,0.74,1.8,15.3,903,21,26.9,128,38,Chandrawal,Yamuna,Good,Low
2025,North West Delhi,Prashant Vihar,North,127778,24.67,22.84,92.6,93.8,8,370,0.23,2,15.6,588,20.3,27.6,121,38,Haiderpur,Yamuna,Good,Low
2014,North West Delhi,Shalimar Village,North,111911,21.66,17.1,78.9,82,7.1,301,0.68,1.7,11.2,905,32.9,37.6,255,52,Dwarka,Ganga Canal,Moderate,High
2015,North West Delhi,Shalimar Village,North,113813,22.27,18.12,81.3,83.4,7.8,403,0.75,1,11.7,437,32,38.7,233,52,Bawana,Groundwater,Moderate,High
2016,North West Delhi,Shalimar Village,North,115587,24.14,19.9,82.4,84.8,7.6,211,0.76,0.7,12,485,31.3,35.2,231,52,Bawana,Ganga Canal,Moderate,High
2017,North West Delhi,Shalimar Village,North,117788,23.19,19.38,83.6,86.3,7.7,343,0.6,2,12.4,795,30.7,33.9,229,52,Chandrawal,Groundwater,Moderate,High
2018,North West Delhi,Shalimar Village,North,119639,23.42,19.56,83.5,87.3,7.6,413,0.74,0.7,12.7,665,29.7,35.6,207,52,Haiderpur,Groundwater,Moderate,High
2019,North West Delhi,Shalimar Village,North,121723,25.2,21.5,85.3,88.1,7.6,335,0.37,2,12.9,606,28.7,35.3,201,52,Chandrawal,Groundwater,Good,Medium
2020,North West Delhi,Shalimar Village,North,124286,23.61,20.15,85.3,89,8.2,468,0.57,1,13.4,715,28.2,32.1,206,52,Dwarka,Groundwater,Good,Medium
2021,North West Delhi,Shalimar Village,North,126799,25.61,22.35,87.3,90.2,7.5,449,0.7,1.3,13.7,524,27.7,32.8,180,52,Chandrawal,Ganga Canal,Good,Medium
2022,North West Delhi,Shalimar Village,North,128926,27.01,23.89,88.4,91.3,7.7,406,0.21,1,13.9,506,27.2,33.9,176,52,Okhla,Yamuna,Good,Medium
2023,North West Delhi,Shalimar Village,North,131329,27.31,25.1,91.9,92.7,7.4,347,0.73,0.4,14.2,563,26.5,31.8,148,52,Wazirabad,Yamuna,Good,Medium
2024,North West Delhi,Shalimar Village,North,134007,27.81,25.32,91.1,93.6,7.1,519,0.67,2.4,14.6,822,25.5,32.8,160,52,Okhla,Yamuna,Good,Medium
2025,North West Delhi,Shalimar Village,North,135783,28.04,26.13,93.2,94.3,7.8,223,0.67,1.4,15.1,648,24.3,30.4,133,52,Okhla,Groundwater,Good,Low
2014,North West Delhi,Alipur,North,102616,20.26,16.51,81.5,77.8,7.3,321,0.62,2.1,17.3,923,23.7,31,214,49,Haiderpur,Yamuna,Poor,High
2015,North West Delhi,Alipur,North,104241,20.1,16.33,81.2,78.9,7.5,362,0.23,1.9,17.6,734,22.7,27.6,212,49,Bhagirathi,Ganga Canal,Poor,High
2016,North West Delhi,Alipur,North,105600,22.55,18.61,82.5,79.8,7.1,394,0.73,1,17.9,724,21.7,26.3,182,49,Chandrawal,Groundwater,Poor,High
2017,North West Delhi,Alipur,North,107715,21.99,18.41,83.7,81.2,7.3,194,0.44,0.6,18.3,629,20.6,25.2,175,49,Okhla,Ganga Canal,Moderate,High
2018,North West Delhi,Alipur,North,110029,22.91,19.85,86.7,82.3,7.5,383,0.61,2.5,18.8,849,19.9,26.5,161,49,Bawana,Ganga Canal,Moderate,Medium
2019,North West Delhi,Alipur,North,112306,22.88,20.02,87.5,83.2,8,368,0.58,1.3,19.2,791,18.9,23.3,160,49,Bawana,Yamuna,Moderate,Medium
2020,North West Delhi,Alipur,North,114400,23.6,20.88,88.5,84.1,8,320,0.36,1.5,19.7,457,18.4,26,133,49,Chandrawal,Ganga Canal,Moderate,Medium
2021,North West Delhi,Alipur,North,116338,22.12,19.88,89.9,85,7,217,0.38,1.8,19.9,948,17.3,24.5,138,49,Bhagirathi,Groundwater,Moderate,Medium
2022,North West Delhi,Alipur,North,118533,23.7,21.31,89.9,86.1,7.6,344,0.78,2.3,20.3,721,16.6,22.2,118,49,Chandrawal,Ganga Canal,Moderate,Medium
2023,North West Delhi,Alipur,North,120710,24.31,21.81,89.7,86.8,7.5,372,0.41,1.8,20.6,528,15.5,23.2,119,49,Dwarka,Groundwater,Moderate,Medium
2024,North West Delhi,Alipur,North,122466,25.53,23.19,90.8,88,8.1,306,0.41,1.6,21,722,14.8,19.6,120,49,Chandrawal,Yamuna,Moderate,Medium
2025,North West Delhi,Alipur,North,125137,26.18,24.73,94.5,89.3,7.4,298,0.33,0.4,21.4,497,13.9,20.7,87,49,Haiderpur,Ganga Canal,Good,Low
2014,North West Delhi,Samaypur,North,104290,20.73,16.9,81.5,75.4,8,401,0.5,2.4,17.2,597,31.8,35.6,245,40,Okhla,Ganga Canal,Poor,High
2015,North West Delhi,Samaypur,North,105732,20.27,16.58,81.8,76.4,7.3,384,0.22,0.5,17.6,929,30.6,38.5,225,40,Bawana,Groundwater,Poor,High
2016,North West Delhi,Samaypur,North,107333,23.26,19.6,84.3,77.6,8.1,419,0.64,0.6,17.9,795,30.1,34.6,210,40,Bawana,Groundwater,Poor,High
2017,North West Delhi,Samaypur,North,108748,21.13,17.79,84.2,78.5,8.1,301,0.66,2.4,18.3,694,29.3,34.2,208,40,Dwarka,Groundwater,Poor,High
2018,North West Delhi,Samaypur,North,110619,21.22,17.79,83.8,79.9,7.5,431,0.36,0.7,18.6,711,28.7,33.3,217,40,Wazirabad,Ganga Canal,Poor,High
2019,North West Delhi,Samaypur,North,112257,21.4,18.73,87.5,81.2,7.3,246,0.51,1.1,19.1,938,27.7,35.7,178,40,Chandrawal,Yamuna,Moderate,Medium
2020,North West Delhi,Samaypur,North,113647,22.13,19.69,89,82.4,7.6,481,0.59,2,19.5,473,26.9,34.6,176,40,Okhla,Groundwater,Moderate,Medium
2021,North West Delhi,Samaypur,North,115194,22.35,20.13,90.1,83.5,7.8,335,0.69,1.7,19.7,496,25.9,30.7,156,40,Bhagirathi,Ganga Canal,Moderate,Medium
2022,North West Delhi,Samaypur,North,117504,24,21.24,88.5,84.4,8,272,0.21,1.1,20.2,962,24.8,31.7,177,40,Bhagirathi,Ganga Canal,Moderate,Medium
2023,North West Delhi,Samaypur,North,118965,24.07,21.73,90.3,85,7.5,257,0.27,1.6,20.4,592,24.1,31.6,160,40,Dwarka,Ganga Canal,Moderate,Medium
2024,North West Delhi,Samaypur,North,120920,23.97,21.98,91.7,86.5,7.4,289,0.31,2,20.8,741,23.5,27.3,136,40,Dwarka,Groundwater,Moderate,Medium
2025,North West Delhi,Samaypur,North,122981,25.34,23.64,93.3,87.8,8.2,458,0.25,1.8,21.2,725,22.9,27.3,131,40,Dwarka,Groundwater,Moderate,Low
2014,Shahdara,Shahdara,East,80021,18.16,14.46,79.6,75.7,8,400,0.52,2.2,12.8,816,33.4,36.7,256,29,Bhagirathi,Ganga Canal,Poor,High
2015,Shahdara,Shahdara,East,81082,15.83,12.85,81.2,77,7.2,514,0.39,0.9,13.3,817,32.4,39.9,233,29,Dwarka,Groundwater,Poor,High
2016,Shahdara,Shahdara,East,82506,16.11,13.47,83.6,77.8,7.2,182,0.72,1.8,13.5,815,31.6,36.9,222,29,Chandrawal,Yamuna,Poor,High
2017,Shahdara,Shahdara,East,83778,18.29,15.39,84.2,79.2,7.2,296,0.45,1.3,13.7,827,30.5,33.9,220,29,Wazirabad,Ganga Canal,Poor,High
2018,Shahdara,Shahdara,East,85582,16.67,13.81,82.8,80.1,7.1,424,0.47,1.7,14,749,29.5,37.2,224,29,Haiderpur,Yamuna,Moderate,High
2019,Shahdara,Shahdara,East,87257,18.12,15.25,84.1,81.3,7.1,310,0.35,0.3,14.4,858,28.6,32.8,215,29,Haiderpur,Groundwater,Moderate,High
2020,Shahdara,Shahdara,East,89054,17.17,15.23,88.7,82,7.5,194,0.54,1.8,14.9,769,27.5,30.9,178,29,Haiderpur,Yamuna,Moderate,Medium
2021,Shahdara,Shahdara,East,90218,17.3,15.23,88,83.4,7,481,0.66,2.4,15.2,922,26.5,31.7,179,29,Dwarka,Yamuna,Moderate,Medium
2022,Shahdara,Shahdara,East,91412,19.35,17.2,88.9,84.1,7.5,250,0.54,1.3,15.7,526,25.8,31.3,177,29,Wazirabad,Ganga Canal,Moderate,Medium
2023,Shahdara,Shahdara,East,93408,19.57,17.95,91.7,84.8,7.3,279,0.35,1.9,16.1,532,25.2,29.8,146,29,Chandrawal,Ganga Canal,Moderate,Medium
2024,Shahdara,Shahdara,East,94885,20.31,18.82,92.7,86,7.2,382,0.28,0.8,16.6,626,24.1,27.8,147,29,Bawana,Groundwater,Moderate,Low
2025,Shahdara,Shahdara,East,96501,19.47,18.31,94,87,7.2,329,0.76,0.4,17,756,23,29.5,124,29,Bhagirathi,Groundwater,Moderate,Low
2014,Shahdara,Vishwas Nagar,East,77965,16.3,13.3,81.6,79.7,7.1,387,0.38,0.6,16.4,959,25.8,31.2,214,50,Haiderpur,Ganga Canal,Poor,High
2015,Shahdara,Vishwas Nagar,East,79622,17.72,14.29,80.6,80.6,7.7,368,0.41,1,16.6,979,25.1,29.6,208,50,Dwarka,Yamuna,Moderate,High
2016,Shahdara,Vishwas Nagar,East,80768,17.49,14.23,81.4,81.3,7.1,435,0.25,2.1,17.1,952,24.5,32.3,215,50,Bhagirathi,Groundwater,Moderate,High
2017,Shahdara,Vishwas Nagar,East,82454,18.56,15.38,82.9,82.5,7.3,454,0.51,1.1,17.3,857,23.8,28.8,198,50,Haiderpur,Yamuna,Moderate,High
2018,Shahdara,Vishwas Nagar,East,84205,18.02,15.13,84,83.7,7.9,289,0.33,1.6,17.6,900,22.6,25.7,182,50,Bhagirathi,Yamuna,Moderate,High
2019,Shahdara,Vishwas Nagar,East,85460,18.55,15.59,84.1,84.7,7.8,236,0.65,1.6,18,846,21.9,26,180,50,Bawana,Yamuna,Moderate,High
2020,Shahdara,Vishwas Nagar,East,86675,19.38,16.62,85.8,85.9,8.1,450,0.46,0.8,18.4,610,20.8,25.8,175,50,Bhagirathi,Ganga Canal,Moderate,Medium
2021,Shahdara,Vishwas Nagar,East,88179,17.84,16.12,90.4,86.6,7.9,467,0.66,0.7,18.6,687,19.9,26.5,139,50,Bhagirathi,Ganga Canal,Moderate,Medium
2022,Shahdara,Vishwas Nagar,East,90019,17.79,16.18,91,87.4,7.5,258,0.42,1.5,18.9,869,19.2,25.8,125,50,Wazirabad,Yamuna,Moderate,Medium
2023,Shahdara,Vishwas Nagar,East,91309,17.68,16.05,90.8,88.6,7.2,287,0.58,1.7,19.4,460,18.6,23.5,119,50,Okhla,Ganga Canal,Good,Medium
2024,Shahdara,Vishwas Nagar,East,92817,18.65,17.02,91.3,89.8,7.5,476,0.64,0.9,19.9,869,17.9,21.7,117,50,Haiderpur,Groundwater,Good,Medium
2025,Shahdara,Vishwas Nagar,East,93942,18.59,17.16,92.3,91.2,7,459,0.74,1,20.2,634,17.2,21.1,114,50,Bawana,Yamuna,Good,Low
2014,Shahdara,Jagatpuri,East,78521,15.54,12.72,81.9,81.8,7.8,215,0.43,1.2,16.8,906,27.5,33,228,45,Dwarka,Yamuna,Moderate,High
2015,Shahdara,Jagatpuri,East,80007,17.71,14.33,80.9,82.6,7.8,219,0.79,1.6,17.2,494,26.5,32.9,230,45,Wazirabad,Ganga Canal,Moderate,High
2016,Shahdara,Jagatpuri,East,81069,18.48,15.26,82.6,84.1,7.7,315,0.54,1.6,17.6,872,25.8,29.7,211,45,Bhagirathi,Groundwater,Moderate,High
2017,Shahdara,Jagatpuri,East,82587,17.24,14.3,83,84.8,7.5,249,0.69,0.8,17.9,838,25.2,32.2,206,45,Wazirabad,Ganga Canal,Moderate,High
2018,Shahdara,Jagatpuri,East,84068,18.95,16.15,85.2,85.5,7.3,399,0.53,1.8,18.3,679,24.4,30.1,194,45,Haiderpur,Yamuna,Moderate,Medium
2019,Shahdara,Jagatpuri,East,85730,17.89,15.38,86,86.2,7.5,415,0.39,1.4,18.6,890,23.6,29.3,188,45,Wazirabad,Groundwater,Moderate,Medium
2020,Shahdara,Jagatpuri,East,87033,17.42,15.04,86.3,87,7.5,299,0.42,1.6,18.9,795,22.9,27.5,166,45,Bhagirathi,Groundwater,Moderate,Medium
2021,Shahdara,Jagatpuri,East,88766,18.48,16.62,90,87.9,7.3,275,0.54,2.3,19.3,534,21.9,28,141,45,Wazirabad,Ganga Canal,Moderate,Medium
2022,Shahdara,Jagatpuri,East,90117,17.27,15.44,89.4,88.6,7.3,444,0.25,1.8,19.8,966,21,24.8,140,45,Haiderpur,Yamuna,Good,Medium
2023,Shahdara,Jagatpuri,East,91970,19.12,17.34,90.7,89.7,7.8,250,0.33,2,20.1,765,20.1,24.7,130,45,Okhla,Yamuna,Good,Medium
